Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,8,152,2,Some Random Commen with Id 0
1,1,8,23,6,Some Random Commen with Id 1
2,1,8,198,3,Some Random Commen with Id 2
3,1,8,71,7,Some Random Commen with Id 3
4,1,8,120,7,Some Random Commen with Id 4
5,2,5,175,4,Some Random Commen with Id 5
6,3,7,78,1,Some Random Commen with Id 6
7,3,7,31,4,Some Random Commen with Id 7
8,3,7,109,8,Some Random Commen with Id 8
9,3,7,13,3,Some Random Commen with Id 9
10,3,7,97,8,Some Random Commen with Id 10
11,3,7,80,2,Some Random Commen with Id 11
12,4,5,93,6,Some Random Commen with Id 12
13,4,5,56,4,Some Random Commen with Id 13
14,4,5,172,0,Some Random Commen with Id 14
15,4,5,106,0,Some Random Commen with Id 15
16,4,5,164,2,Some Random Commen with Id 16
17,4,5,76,9,Some Random Commen with Id 17
18,5,8,125,3,Some Random Commen with Id 18
19,5,8,62,6,Some Random Commen with Id 19
20,5,8,171,1,Some Random Commen with Id 20
21,5,8,66,3,Some Random Commen with Id 21
22,8,1,22,5,Some Random Commen with Id 22
23,8,1,143,8,Some Random Commen with Id 23
24,8,1,167,3,Some Random Commen with Id 24
25,8,1,78,9,Some Random Commen with Id 25
26,8,1,74,5,Some Random Commen with Id 26
27,8,1,63,0,Some Random Commen with Id 27
28,8,1,0,3,Some Random Commen with Id 28
29,8,1,37,5,Some Random Commen with Id 29
30,8,1,124,0,Some Random Commen with Id 30
31,10,0,88,2,Some Random Commen with Id 31
32,10,0,174,1,Some Random Commen with Id 32
33,10,0,197,7,Some Random Commen with Id 33
34,10,0,73,0,Some Random Commen with Id 34
35,11,1,185,4,Some Random Commen with Id 35
36,11,1,30,1,Some Random Commen with Id 36
37,11,1,150,6,Some Random Commen with Id 37
38,12,6,130,9,Some Random Commen with Id 38
39,12,6,2,7,Some Random Commen with Id 39
40,12,6,53,2,Some Random Commen with Id 40
41,12,6,117,8,Some Random Commen with Id 41
42,12,6,143,3,Some Random Commen with Id 42
43,12,6,103,3,Some Random Commen with Id 43
44,12,6,113,8,Some Random Commen with Id 44
45,12,6,27,7,Some Random Commen with Id 45
46,12,6,56,0,Some Random Commen with Id 46
47,13,2,159,5,Some Random Commen with Id 47
48,13,2,31,0,Some Random Commen with Id 48
49,13,2,64,7,Some Random Commen with Id 49
50,13,2,58,6,Some Random Commen with Id 50
51,13,2,110,9,Some Random Commen with Id 51
52,13,2,80,9,Some Random Commen with Id 52
53,14,8,95,0,Some Random Commen with Id 53
54,14,8,160,5,Some Random Commen with Id 54
55,14,8,194,7,Some Random Commen with Id 55
56,14,8,182,3,Some Random Commen with Id 56
57,14,8,93,9,Some Random Commen with Id 57
58,14,8,153,6,Some Random Commen with Id 58
59,14,8,119,0,Some Random Commen with Id 59
60,14,8,123,5,Some Random Commen with Id 60
61,15,1,29,9,Some Random Commen with Id 61
62,15,1,37,1,Some Random Commen with Id 62
63,15,1,36,2,Some Random Commen with Id 63
64,15,1,174,4,Some Random Commen with Id 64
65,15,1,75,7,Some Random Commen with Id 65
66,15,1,132,6,Some Random Commen with Id 66
67,15,1,150,5,Some Random Commen with Id 67
68,15,1,145,0,Some Random Commen with Id 68
69,15,1,78,5,Some Random Commen with Id 69
70,16,9,181,3,Some Random Commen with Id 70
71,16,9,13,6,Some Random Commen with Id 71
72,16,9,48,7,Some Random Commen with Id 72
73,16,9,64,5,Some Random Commen with Id 73
74,16,9,100,7,Some Random Commen with Id 74
75,16,9,32,0,Some Random Commen with Id 75
76,16,9,14,0,Some Random Commen with Id 76
77,16,9,77,4,Some Random Commen with Id 77
78,17,3,143,4,Some Random Commen with Id 78
79,17,3,169,2,Some Random Commen with Id 79
80,17,3,167,2,Some Random Commen with Id 80
81,17,3,64,1,Some Random Commen with Id 81
82,18,4,121,7,Some Random Commen with Id 82
83,18,4,79,0,Some Random Commen with Id 83
84,19,7,75,5,Some Random Commen with Id 84
85,19,7,65,5,Some Random Commen with Id 85
86,20,8,78,6,Some Random Commen with Id 86
87,20,8,97,4,Some Random Commen with Id 87
88,20,8,16,6,Some Random Commen with Id 88
89,20,8,68,3,Some Random Commen with Id 89
90,20,8,97,6,Some Random Commen with Id 90
91,20,8,128,9,Some Random Commen with Id 91
92,20,8,196,2,Some Random Commen with Id 92
93,20,8,109,8,Some Random Commen with Id 93
94,20,8,167,8,Some Random Commen with Id 94
95,21,7,86,7,Some Random Commen with Id 95
96,21,7,65,6,Some Random Commen with Id 96
97,21,7,125,0,Some Random Commen with Id 97
98,21,7,101,6,Some Random Commen with Id 98
99,21,7,66,7,Some Random Commen with Id 99
100,21,7,73,4,Some Random Commen with Id 100
101,21,7,181,9,Some Random Commen with Id 101
102,22,1,157,5,Some Random Commen with Id 102
103,22,1,68,4,Some Random Commen with Id 103
104,22,1,169,7,Some Random Commen with Id 104
105,22,1,70,0,Some Random Commen with Id 105
106,22,1,183,6,Some Random Commen with Id 106
107,23,3,108,1,Some Random Commen with Id 107
108,23,3,19,1,Some Random Commen with Id 108
109,23,3,57,3,Some Random Commen with Id 109
110,23,3,150,6,Some Random Commen with Id 110
111,23,3,94,4,Some Random Commen with Id 111
112,23,3,156,0,Some Random Commen with Id 112
113,24,4,1,7,Some Random Commen with Id 113
114,26,6,195,3,Some Random Commen with Id 114
115,26,6,19,3,Some Random Commen with Id 115
116,26,6,63,1,Some Random Commen with Id 116
117,26,6,37,0,Some Random Commen with Id 117
118,26,6,64,5,Some Random Commen with Id 118
119,26,6,155,7,Some Random Commen with Id 119
120,27,1,52,0,Some Random Commen with Id 120
121,27,1,46,9,Some Random Commen with Id 121
122,27,1,75,8,Some Random Commen with Id 122
123,28,7,23,5,Some Random Commen with Id 123
124,28,7,192,3,Some Random Commen with Id 124
125,28,7,71,9,Some Random Commen with Id 125
126,29,8,40,6,Some Random Commen with Id 126
127,29,8,188,0,Some Random Commen with Id 127
128,29,8,116,0,Some Random Commen with Id 128
129,29,8,88,0,Some Random Commen with Id 129
130,29,8,169,0,Some Random Commen with Id 130
131,29,8,73,4,Some Random Commen with Id 131
132,29,8,131,7,Some Random Commen with Id 132
133,29,8,38,4,Some Random Commen with Id 133
134,29,8,199,5,Some Random Commen with Id 134
135,30,4,197,4,Some Random Commen with Id 135
136,30,4,108,8,Some Random Commen with Id 136
137,30,4,184,5,Some Random Commen with Id 137
138,30,4,21,0,Some Random Commen with Id 138
139,32,4,167,6,Some Random Commen with Id 139
140,32,4,165,8,Some Random Commen with Id 140
141,33,8,183,0,Some Random Commen with Id 141
